RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,10.0,,,2026,아파트,직거래,
2026,11320,도봉구,10700,창동,1,대지,0821,0000,초안산신도브래뉴,20260902,65000,84.999,0.0,14.0,,,2005,아파트,중개거래,"서울 강북구, 서울 도봉구"
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,59755,71.65,95.42,4.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,58557,71.65,95.42,5.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,59142,71.65,95.42,3.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,61486,75.27,100.37,5.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,60871,75.27,100.37,3.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,60871,75.27,100.37,3.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,61486,75.27,100.37,4.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,61486,75.27,100.37,5.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,61486,75.27,100.37,4.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65658,50.25,0.0,14.0,,,2026,아파트,직거래,
2026,11470,양천구,10300,신월동,1,대지,0488,0002,중앙아트빌라1차,20260902,25500,61.05,32.0,3.0,,20260904,1994,연립다세대,중개거래,서울 양천구
2026,11500,강서구,10500,마곡동,1,대지,0760,0002,마곡나루역캐슬파크,20260902,17700,23.39,31.95,5.0,,,2016,오피스텔,중개거래,서울 강서구
2026,11620,관악구,10100,봉천동,1,대지,1605,0004,우성하이츠빌라,20260902,20000,61.63,33.0,-1.0,,,1993,연립다세대,중개거래,서울 관악구
2026,11620,관악구,10200,신림동,1,대지,0409,0258,정도아트빌,20260902,49500,61.54,30.0,4.0,,,2002,연립다세대,중개거래,서울 관악구
2026,11215,광진구,10100,중곡동,1,대지,0639,0006,정익제이타워2차,20260902,19200,15.93,27.042,9.0,,,2020,오피스텔,중개거래,서울 광진구
2026,11470,양천구,10200,목동,1,대지,0603,0002,목동대우마이빌,20260902,18350,40.3,54.65,9.0,,,2003,오피스텔,중개거래,서울 강서구
2026,11440,마포구,10800,대흥동,1,대지,0012,0027,이대역 푸르지오 시티,20260902,51600,47.93,65.91,15.0,,20260903,2013,오피스텔,중개거래,"서울 마포구, 서울 서대문구"
2026,11440,마포구,10800,대흥동,1,대지,0012,0027,이대역 푸르지오 시티,20260902,51600,47.93,65.91,15.0,,,2013,오피스텔,중개거래,"서울 마포구, 서울 서대문구"
2026,11470,양천구,10300,신월동,1,대지,0913,0005,무지개주택(913-5),20260902,20500,35.8,26.0,1.0,,,1987,연립다세대,중개거래,경기 의왕시
2026,11320,도봉구,10600,방학동,1,대지,0271,0001,신동아아파트1,20260902,29000,43.35,0.0,8.0,,,1986,아파트,중개거래,서울 도봉구
2026,11260,중랑구,10400,묵동,1,대지,0013,0000,신내,20260902,44300,39.84,0.0,3.0,,,1996,아파트,중개거래,서울 중랑구
2026,11320,도봉구,10600,방학동,1,대지,0689,0000,동부센트레빌아파트,20260902,63000,84.909,0.0,1.0,,,2005,아파트,중개거래,서울 도봉구
2026,11530,구로구,10800,오류동,1,대지,0338,0000,동부골든,20260902,58000,71.06,0.0,16.0,,,1998,아파트,중개거래,서울 구로구
2026,11305,강북구,10100,미아동,1,대지,0163,0021,신일,20260902,50000,84.91,0.0,1.0,,,2003,아파트,직거래,
2026,11470,양천구,10300,신월동,1,대지,0235,0007,신목동샤르망오피스텔,20260902,5700,17.97,23.98,9.0,,,2004,오피스텔,중개거래,서울 양천구
2026,11305,강북구,10100,미아동,1,대지,0811,0000,두산위브트레지움,20260902,100000,84.99,0.0,7.0,,,2011,아파트,중개거래,"서울 강북구, 서울 노원구"
2026,11620,관악구,10200,신림동,1,대지,1686,0000,신림동쌍용아파트,20260902,51000,59.26,0.0,8.0,,,1998,아파트,중개거래,서울 관악구
2026,11560,영등포구,11100,당산동1가,1,대지,0416,0000,세인트빌,20260902,35000,29.45,17.0,3.0,,,2018,연립다세대,중개거래,서울 영등포구
2026,11260,중랑구,10100,면목동,1,대지,1501,0000,두산6,20260901,60000,59.55,0.0,7.0,,,1993,아파트,중개거래,서울 중랑구
2026,11620,관악구,10100,봉천동,1,대지,0007,0312,동아타운21,20260901,90000,125.42,0.0,5.0,,,2003,아파트,중개거래,"서울 관악구, 서울 동작구"
2026,11740,강동구,10900,천호동,1,대지,0151,0002,신구오피스텔,20260901,15500,43.29,58.64,8.0,,,1997,오피스텔,중개거래,서울 강동구
2026,11710,송파구,10900,장지동,1,대지,0854,0000,송파파인타운11단지,20260901,185000,84.94,0.0,13.0,,,2007,아파트,중개거래,"서울 강남구, 서울 송파구"
2026,11290,성북구,10300,돈암동,1,대지,0015,0001,돈암동삼성,20260901,101500,84.59,0.0,11.0,,,1999,아파트,중개거래,서울 성북구
2026,11380,은평구,10900,신사동,1,대지,0360,0000,신사성원,20260901,56000,59.94,0.0,11.0,,,2000,아파트,중개거래,서울 은평구
2026,11380,은평구,10900,신사동,1,대지,0360,0000,신사성원,20260901,71000,84.96,0.0,13.0,,,2000,아파트,중개거래,서울 은평구
2026,11620,관악구,10100,봉천동,1,대지,0007,0312,동아타운21,20260901,90000,125.42,0.0,5.0,,20260901,2003,아파트,중개거래,"서울 관악구, 서울 동작구"
2026,11320,도봉구,10600,방학동,1,대지,0734,0000,청구아파트,20260901,59000,84.97,0.0,6.0,,,1994,아파트,중개거래,서울 도봉구
